"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 30 11:24:23 GMT 2024","Thu May 30 11:29:26 GMT 2024","303199","","This is a demo feature for Website Test Automation","","Open webpage and validate personal menu is displayed","","Open webpage and validate personal menu is displayed",""
"broken","Thu May 30 11:24:23 GMT 2024","Thu May 30 11:24:55 GMT 2024","32317","","This is a demo feature for Website Test Automation","","Open webpage and validate business menu is displayed","","Open webpage and validate business menu is displayed",""
