"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","This is a demo feature for Website Test Automation","Open webpage and validate personal menu is displayed","0","0","1","0","0"
"","This is a demo feature for Website Test Automation","Open webpage and validate business menu is displayed","0","1","0","0","0"
